ClusterNo,Base load,Desc usage,Morn load,Prepeak usage,Peak usage,Postpeak usage
Cluster #1,0,0.78768268,0.651369755,0.726489333,0.817167991,1
Cluster #2,0,0.977524023,0.74077256,1,0.443541587,0.118055556
Cluster #3,0,1,0.218114219,0.290831648,0.381258935,0.460291343
Cluster #4,0,0.981814925,0.616184212,0.506720072,0.760089295,1
Cluster #5,0,1,0.062267842,0.063985358,0.799348155,0.834852501
Cluster #6,0,0.641841151,0.150010928,0.479713249,1,0.185164139
Cluster #7,0,0.970959247,0.912103434,0.61923684,1,0.695021038
Cluster #8,0,0.659169404,0.963474012,1,0.893555724,0.598854351
Cluster #9,0,1,0.949764977,0.639428254,0.914733783,0.206614819
Cluster #10,0,0.637252277,1,0.835485145,0.719677614,0.931479372
Cluster #11,0,0.916713825,1,0.55137142,0.96210726,0.600219166
Cluster #12,0,1,0.871804475,0.386418406,0.838815254,0.111554369
